"시설번호","년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","선풍기보유대수","에어컨보유대수","야간개방","휴일개방","숙박가능여부","입력시간","수정시간","사용여부","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"1120000293","2022","1120064500","013","옥수나들목 샘물창고","서울특별시 성동구 동호로 21 (옥수동)","168-1","3","8","0","0","","","","2022-07-27 14:45:55","2022-07-27 14:45:55","Y","","","","127.017200","37.539900","201520.107996","548932.664564"
"1129000257","2022","1129057500","001","동선동 희망경로당","서울특별시 성북구 아리랑로4길 49-1","71-1","101","42","3","2","N","N","N","2021-07-28 11:21:52","2022-06-30 10:23:44","Y","","20220520","20220930","127.018283","37.595875","201614.630757","555145.220399"
"1121500101","2022","1121577000","011","긴고랑공원","","68-19","633","15","0","0","","","","2021-05-21 16:50:03","2022-07-12 15:19:14","Y","","","","127.090956","37.558969","208036.452235","551052.854595"
"1121500105","2022","1121583000","011","금모래공원","서울특별시 광진구 뚝섬로56길 28","651-50","1022","15","0","0","","","","2021-05-21 17:00:13","2022-07-12 15:20:07","Y","","","","127.082398","37.530181","207283.129192","547856.970880"
"1120000292","2022","1120010700","012","무지개텃밭 샘물창고","","67-10","3","5","0","0","","","","2022-07-27 14:44:13","2022-07-27 14:44:13","Y","","","","127.040700","37.553600","203596.341571","550453.838547"
"1120000297","2022","1120010700","011","구청 앞 오두막 샘물창고","","192-18","3","5","0","0","","","","2022-07-27 14:55:45","2022-07-27 14:55:45","Y","","","","127.036400","37.563200","203215.971473","551519.168903"
"1121500106","2022","1121584000","012","동자공원","서울특별시 광진구 자양번영로3길 16","582-19","986","15","0","0","","","","2021-05-21 17:02:29","2022-07-12 15:20:15","Y","","","","127.074347","37.531990","206571.334771","548057.254438"
"1121500110","2022","1121571000","011","화양동 정자마당공원","","110-34","2382","20","0","0","","","","2021-05-21 17:13:23","2022-07-12 15:18:11","Y","","","","127.071808","37.546518","206345.748912","549669.488660"
"11590079","2022","1159058000","001","흑석센트레빌2차아파트경로당","서울특별시 동작구 서달로 91 (흑석동)","339","224","80","3","4","N","N","N","2021-04-13 18:26:38","2022-05-20 14:16:39","Y","","20220520","20220930","126.958566","37.502233","196336.253799","544752.757272"
"11590080","2022","1159058000","001","흑석푸르지오아파트경로당","서울특별시 동작구 흑석한강로 27 (흑석동 흑석한강푸르지오)","336 흑석한강푸르지오","176","60","5","4","N","N","N","2021-04-13 18:26:38","2022-05-20 14:16:39","Y","","20220520","20220930","126.965402","37.503154","196940.749756","544854.754417"
"11590067","2022","1159057000","001","신동아아파트 경로당","서울특별시 동작구 매봉로 134","481","66","40","3","2","N","N","N","2021-04-13 18:26:38","2022-05-20 14:16:39","Y","","20220520","20220930","126.951846","37.509702","195742.503170","545582.003169"
