"데이터직무별(1)",2018,2018,2019,2019,2020,2020,2021,2021
"데이터직무별(1)",전체,전체,전체,전체,전체,전체,전체,전체
"데이터직무별(1)",차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명)
"전체",1547,9472,3936,8484,5955,12114,7731,16984
"데이터 아키텍트",107,715,29,86,102,327,140,446
"데이터 개발자",522,2968,2619,4870,3524,5775,4201,8035
"데이터 엔지니어",143,969,429,785,775,1624,1021,2131
"데이터 분석가",273,1559,309,1145,384,1281,596,1744
"데이터베이스 관리자",160,1003,107,184,252,470,392,825
"데이터 과학자",45,318,148,836,223,1106,483,1738
"데이터 컨설턴트",144,956,73,165,388,844,474,1062
"데이터 기획자",153,984,223,413,307,687,424,1004
